primary_category,total_products,high_protein_low_sugar_products,opportunity_percentage,market_gap_score
Beverages,3000,347,11.57,265290.0
Biscuits & Bakery,1252,205,16.37,104704.76
Breakfast & Cereals,4746,711,14.98,403504.92
Chocolate & Confectionery,1060,23,2.17,103699.8
Dairy Products,2306,441,19.12,186509.28
Meals & Prepared Foods,1075,454,42.23,62102.75
Meat & Seafood,620,502,80.97,11798.6
Other,2775,489,17.62,228604.5
Plant-Based Foods,55,6,10.91,4899.95
Protein & Fitness,235,126,53.62,10899.300000000001
Snacks,995,125,12.56,87002.8
